Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,ave,upper,lower
2018-12-04,SONATSOFTW,EQ,301.5,304.65,308.6,301.0,301.0,302.9,305.94,126395,38669765.5,4585,46141,36.51,12,2018,281.35919172326595,0.004643449419568846,Slight or No change,315.818,339.374,292.262
2018-12-05,SONATSOFTW,EQ,302.9,302.4,302.4,295.0,300.9,298.5,298.29,124686,37192408.5,3809,80532,64.59,12,2018,281.37564406758116,-0.014526246285902822,Slight or No change,313.193,335.582,290.804
2018-12-06,SONATSOFTW,EQ,298.5,300.0,314.9,300.0,310.7,311.45,309.43,470758,145666104.9,9636,227623,48.35,12,2018,281.4842370718563,0.043383584589614665,Slight or No change,311.5,329.98,293.02
2018-12-07,SONATSOFTW,EQ,311.45,311.5,317.95,307.25,310.05,312.1,312.89,135716,42463615.4,4514,52609,38.76,12,2018,281.5160740682418,0.0020870123615348572,Slight or No change,310.118,324.642,295.594
2018-12-10,SONATSOFTW,EQ,312.1,300.0,307.0,295.0,305.0,305.1,303.62,113727,34529515.2,4257,71235,62.64,12,2018,281.5366073021683,-0.02242870874719638,Slight or No change,308.721,320.776,296.667
2018-12-11,SONATSOFTW,EQ,305.1,297.7,316.4,297.65,314.15,315.4,310.41,182101,56526388.35,6586,107858,59.23,12,2018,281.58375010987663,0.033759423139954066,Slight or No change,308.475,319.754,297.196
2018-12-12,SONATSOFTW,EQ,315.4,315.5,320.8,313.4,319.0,318.0,317.36,131986,41886781.5,7354,80130,60.71,12,2018,281.6204578579897,0.008243500317057784,Slight or No change,309.143,321.52,296.766
2018-12-13,SONATSOFTW,EQ,318.0,320.0,321.9,315.2,315.6,318.05,318.54,135172,43057685.6,5146,67081,49.63,12,2018,281.658026630094,0.00015723270440259896,Slight or No change,309.339,322.215,296.464
2018-12-14,SONATSOFTW,EQ,318.05,318.05,322.0,315.2,317.25,317.85,318.95,130735,41698555.1,5443,59317,45.37,12,2018,281.6940892873841,-0.0006288319446627888,Slight or No change,309.343,322.228,296.457
2018-12-17,SONATSOFTW,EQ,317.85,318.15,321.95,314.1,315.75,315.3,318.51,65965,21010286.8,2721,41573,63.02,12,2018,281.7109767550889,-0.008022652194431323,Slight or No change,309.661,322.92,296.401
2018-12-18,SONATSOFTW,EQ,315.3,315.5,316.35,310.7,310.75,311.5,312.15,80188,25030675.9,3969,45885,57.22,12,2018,281.72916269394614,-0.012052013954963579,Slight or No change,310.0,323.182,296.818
2018-12-19,SONATSOFTW,EQ,311.5,313.0,316.0,306.0,309.25,308.95,309.45,99213,30701571.55,4290,53581,54.01,12,2018,281.749707981789,-0.00818619582664526,Slight or No change,310.214,323.209,297.22
2018-12-20,SONATSOFTW,EQ,308.95,309.0,312.55,305.0,305.55,305.5,307.16,70551,21670776.6,3082,41516,58.85,12,2018,281.7624483290399,-0.011166855478232708,Slight or No change,310.15,323.234,297.066
2018-12-21,SONATSOFTW,EQ,305.5,306.9,308.65,301.0,301.95,301.6,303.33,67109,20356496.95,2771,40872,60.9,12,2018,281.77256543806726,-0.012765957446808418,Slight or No change,310.157,323.221,297.093
2018-12-24,SONATSOFTW,EQ,301.6,302.2,304.45,300.05,302.0,301.75,301.64,57077,17216915.5,3381,34649,60.71,12,2018,281.7812270776508,0.0004973474801059918,Slight or No change,310.075,323.348,296.802
2018-12-26,SONATSOFTW,EQ,301.75,298.85,300.4,295.95,298.65,298.15,297.73,44218,13164811.2,2067,27476,62.14,12,2018,281.7867233547719,-0.011930405965203006,Slight or No change,310.05,323.418,296.682
